GCA_014378125.1,60,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla sp.,
GCA_019904175.1,53362,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Dactylosporangium,Dactylosporangium vinaceum,
GCA_014193425.1,53388,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus antarcticus,
GCA_002939895.1,56455,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas hyacinthi,
GCA_014203855.1,58351,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora kifunensis,
GCA_902833485.1,60547,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia glathei,
GCA_900141745.1,60549,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phenazinium,
GCA_900142845.1,60549,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phenazinium,
GCA_902833675.1,60549,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phenazinium,
GCA_017305995.1,60912,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp.,
GCA_000020025.1,63737,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc punctiforme,Nostoc punctiforme PCC 73102
GCA_014650355.1,67384,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes,
GCA_001280155.1,68259,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces purpurogeneiscleroticus,
GCA_003326245.1,76335,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. ATCC 53789,
GCA_015624485.1,83637,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium genosp. L,
GCA_903845345.1,86027,Bacteria,Proteobacteria,Betaproteobacteria,,,,uncultured beta proteobacterium,
GCA_003752505.1,86796,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola aurantiacus,
GCA_902825865.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903822175.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903825295.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903857685.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903902075.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903922545.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_903929585.1,91750,Bacteria,Proteobacteria,Alphaproteobacteria,,,,uncultured Alphaproteobacteria bacterium,
GCA_000333475.1,95563,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. B34,
GCA_000333335.1,95606,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,Sphingomonas-like bacterium B12,
GCA_000783375.1,104605,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. Ant20,
GCA_000787775.1,105422,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus carbonis,
GCA_016862115.1,113561,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes deccanensis,
GCA_016862175.1,113563,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes durhamensis,
GCA_016862195.1,113564,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes ferrugineus,
GCA_016862215.1,113566,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes humidus,
GCA_000026145.1,114615,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 278,
GCA_013385535.1,117681,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas gingeri,
GCA_005080745.1,118103,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,
GCA_002179925.1,134536,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia caledonica,
GCA_019000095.1,134537,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia fungorum,
GCA_900099835.1,134537,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia fungorum,
GCA_016862295.1,135948,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes octamycinicus,
GCA_016862275.1,135950,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes nipponensis,
GCA_014190775.1,144185,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia aquatica,
GCA_013410615.1,150025,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia naganoensis,
GCA_903823655.1,152507,Bacteria,Actinobacteria,Actinomycetia,,,,uncultured actinobacterium,
GCA_903918285.1,152507,Bacteria,Actinobacteria,Actinomycetia,,,,uncultured actinobacterium,
GCA_903851455.1,152509,Bacteria,Bacteroidetes,,,,,uncultured Bacteroidetes bacterium,
GCA_903906615.1,152509,Bacteria,Bacteroidetes,,,,,uncultured Bacteroidetes bacterium,
GCA_013409985.1,152682,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas melonis,
GCA_903869145.1,153809,Bacteria,Proteobacteria,,,,,uncultured proteobacterium,
GCA_903907005.1,153809,Bacteria,Proteobacteria,,,,,uncultured proteobacterium,
GCA_903863295.1,156588,Bacteria,Verrucomicrobia,,,,,uncultured Verrucomicrobia bacterium,
GCA_001705435.1,158627,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas graminis,
GCA_004364335.1,158627,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas graminis,
GCA_013201545.1,158627,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas graminis,
GCA_900111735.1,158627,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas graminis,
GCA_000757825.1,158822,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,
GCA_002024165.1,159449,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Embleya,Embleya scabrispora,
GCA_003330825.1,169427,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia terricola,
GCA_903918195.1,169975,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,uncultured Acetobacteraceae bacterium,
GCA_903868005.1,169976,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,uncultured Sphingomonadaceae bacterium,
GCA_903871605.1,169976,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,uncultured Sphingomonadaceae bacterium,
GCA_903832295.1,171953,Bacteria,Acidobacteria,,,,,uncultured Acidobacteria bacterium,
GCA_903832475.1,171953,Bacteria,Acidobacteria,,,,,uncultured Acidobacteria bacterium,
GCA_903848145.1,171953,Bacteria,Acidobacteria,,,,,uncultured Acidobacteria bacterium,
GCA_903873705.1,171953,Bacteria,Acidobacteria,,,,,uncultured Acidobacteria bacterium,
GCA_000426785.1,172088,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. th.b2,
GCA_000317475.1,179408,Bacteria,Cyanobacteria,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria nigro-viridis,Oscillatoria nigro-viridis PCC 7112
GCA_003050705.1,185949,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas aurantiaca,
GCA_902498765.1,185949,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas aurantiaca,
GCA_014200615.1,188932,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter cryoconitis,
GCA_014207145.1,188932,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter cryoconitis,
GCA_903849645.1,194844,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,uncultured Acidobacteriaceae bacterium,
GCA_000729995.1,196367,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia sordidicola,
GCA_002141475.1,196367,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia sordidicola,
GCA_002141485.1,196367,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia sordidicola,
GCA_002220365.1,196367,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia sordidicola,
GCA_000426245.1,196490,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. Ai1a-2,
GCA_902826195.1,199684,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,uncultured Bradyrhizobium sp.,
GCA_004000515.1,200451,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas poae,
GCA_903828905.1,208549,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,uncultured Hyphomicrobiales bacterium,
GCA_903885555.1,208549,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,uncultured Hyphomicrobiales bacterium,
GCA_903888965.1,208549,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,uncultured Hyphomicrobiales bacterium,
GCA_903891395.1,208549,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,uncultured Hyphomicrobiales bacterium,
GCA_903929045.1,208549,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,uncultured Hyphomicrobiales bacterium,
GCA_010729665.1,212765,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium madagascariense,
GCA_000723905.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_001305855.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_008180405.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_008180415.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_008180615.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_009858215.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_020166015.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_020833665.1,218284,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Rossellomorea,Rossellomorea vietnamensis,
GCA_016903675.1,221294,Bacteria,Cyanobacteria,,Nostocales,Stigonemataceae,Stigonema,Stigonema ocellatum,Stigonema ocellatum SAG 48.90 = DSM 106950
GCA_903832005.1,225324,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Enhydrobacter,Enhydrobacter aerosaccus,
GCA_903839865.1,225324,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Enhydrobacter,Enhydrobacter aerosaccus,
GCA_903900945.1,225324,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Enhydrobacter,Enhydrobacter aerosaccus,
GCA_903915535.1,225324,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Enhydrobacter,Enhydrobacter aerosaccus,
GCA_903926485.1,225324,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,Enhydrobacter,Enhydrobacter aerosaccus,
GCA_001636625.1,242606,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,Luteibacter rhizovicinus,
GCA_000178415.2,243261,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp. Ch1-1,
GCA_022179225.1,243690,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium goesingense,
GCA_004123905.1,244734,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium betae,
GCA_008932115.1,244734,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium betae,
GCA_900105125.1,255045,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium canariense,
GCA_902805765.1,259945,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus,uncultured Microcoleus sp.,
